# t0 (BJD_TBD - 2450000), Variation (ppm), Duration (hours)
1.119496002460024647e+04,4.665239271215515373e+02,6.180061800616385881e+01
1.121952527025270319e+04,4.095761604115916157e+02,6.048060480601270683e+01
1.123147038970389622e+04,4.778272681692391188e+02,6.264062640626798384e+01
1.125357061070610689e+04,4.133670524585856469e+02,5.952059520596230868e+01
1.126799075490754876e+04,4.781705623322193333e+02,6.312063120631501079e+01
1.129006597565975608e+04,4.344938751310362477e+02,6.024060240603284910e+01
1.130451612016120089e+04,4.670830321441534920e+02,6.360063600636203773e+01
1.132657134071340624e+04,4.480176818536913856e+02,6.072060720607987605e+01
1.134104648546485441e+04,4.445838044953503640e+02,6.384063840638555121e+01
1.136308170581705781e+04,4.526153766373390113e+02,6.108061080613697413e+01
1.137508182581825895e+04,4.216279371545796835e+02,6.000060000596567988e+01
1.137758185081850752e+04,4.111665790896703356e+02,6.384063840638555121e+01
1.139959707097070896e+04,4.473955952067937005e+02,6.120061200612690300e+01
1.141157219072190674e+04,4.502351352415615793e+02,6.108061080613697413e+01
1.143611743617436150e+04,4.320050977117331854e+02,6.108061080609331839e+01
1.144807255572555732e+04,4.699351207955365908e+02,6.204062040618737228e+01
1.147264280142801363e+04,4.067071592391513946e+02,6.048060480605636258e+01
1.148458792087920847e+04,4.793966401812658660e+02,6.264062640626798384e+01
1.150667814178141816e+04,4.191318374495482431e+02,5.976059760598582216e+01
1.152110828608286101e+04,4.777658855477986890e+02,6.324063240630493965e+01
1.154317850678506875e+04,4.395575254913386516e+02,6.048060480601270683e+01
1.155763365133651314e+04,4.646765305525889289e+02,6.360063600636203773e+01
1.157968387183871891e+04,4.519301263341882304e+02,6.096060960610338952e+01
1.159416401664016666e+04,4.402479492795191049e+02,6.384063840638555121e+01
1.161619423694236866e+04,4.549931468588439429e+02,6.132061320616048761e+01
1.162819435694356980e+04,4.276858568967228393e+02,6.012060120599926449e+01
1.163069938199381977e+04,4.050777357226342588e+02,6.384063840638555121e+01
1.165271460214602121e+04,4.479619864501071334e+02,6.120061200612690300e+01
1.166468472184721759e+04,4.549360841705929488e+02,6.132061320616048761e+01
1.168923496734967375e+04,4.306176948740046555e+02,6.108061080609331839e+01
