Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.062594821759266779e+04,2.655068757267332824e+00
1.062594823627046208e+04,2.655068793383574377e+00
1.062594825494825454e+04,2.655068829493529847e+00
1.062594827362604883e+04,2.655068865597207672e+00
1.062594829230384312e+04,2.655068901694604300e+00
1.062594831098163559e+04,2.655068937785713956e+00
1.062594832965942987e+04,2.655068973870545523e+00
1.062594834833722416e+04,2.655069009949094561e+00
1.062594836701501663e+04,2.655069046021356627e+00
1.062594838569281092e+04,2.655069082087339716e+00
1.062594840437060520e+04,2.655069118147039831e+00
1.062594842304839767e+04,2.655069154200452530e+00
1.062594844172619196e+04,2.655069190247585365e+00
1.062594846040398625e+04,2.655069226288434336e+00
1.062594847908178053e+04,2.655069262322998558e+00
1.062594849775957300e+04,2.655069298351274920e+00
1.062594851643736729e+04,2.655069334373271417e+00
1.062594853511516158e+04,2.655069370388982275e+00
1.062594855379295404e+04,2.655069406398404830e+00
1.062594857247074833e+04,2.655069442401545743e+00
1.062594859114854262e+04,2.655069478398400573e+00
1.062594860982633509e+04,2.655069514388967544e+00
1.062594862850412937e+04,2.655069550373251541e+00
1.062594864718192366e+04,2.655069586351249011e+00
1.062594866585971613e+04,2.655069622322957290e+00
1.062594868453751042e+04,2.655069658288382151e+00
1.062594870321530470e+04,2.655069694247520484e+00
1.062594872189309717e+04,2.655069730200368738e+00
1.062594874057089146e+04,2.655069766146932686e+00
1.062594875924868575e+04,2.655069802087210107e+00
1.062594877792647821e+04,2.655069838021196116e+00
1.062594879660427250e+04,2.655069873948897374e+00
1.062594881528206679e+04,2.655069909870310774e+00
1.062594883395985926e+04,2.655069945785432761e+00
1.062594885263765354e+04,2.655069981694269998e+00
1.062594887131544783e+04,2.655070017596817600e+00
1.062594888999324030e+04,2.655070053493073789e+00
1.062594890867103459e+04,2.655070089383044341e+00
1.062594892734882887e+04,2.655070125266724812e+00
1.062594894602662316e+04,2.655070161144116536e+00
1.062594896470441563e+04,2.655070197015214628e+00
1.062594898338220992e+04,2.655070232880025749e+00
1.062594900206000420e+04,2.655070268738547679e+00
1.062594902073779667e+04,2.655070304590775088e+00
1.062594903941559096e+04,2.655070340436715526e+00
1.062594905809338525e+04,2.655070376276365440e+00
1.062594907677117772e+04,2.655070412109720390e+00
1.062594909544897200e+04,2.655070447936787925e+00
1.062594911412676629e+04,2.655070483757563604e+00
1.062594913280455876e+04,2.655070519572044319e+00
1.062594915148235305e+04,2.655070555380236730e+00
1.062594917016014733e+04,2.655070591182136397e+00
1.062594918883793980e+04,2.655070626977740655e+00
1.062594920751573409e+04,2.655070662767056167e+00
1.062594922619352838e+04,2.655070698550078490e+00
1.062594924487132084e+04,2.655070734326804516e+00
1.062594926354911513e+04,2.655070770097240906e+00
1.062594928222690942e+04,2.655070805861383221e+00
1.062594930090470189e+04,2.655070841619229238e+00
1.062594931958249617e+04,2.655070877370784732e+00
1.062594933826029046e+04,2.655070913116045705e+00
1.062594935693808293e+04,2.655070948855009494e+00
1.062594937561587722e+04,2.655070984587681870e+00
1.062594939429367150e+04,2.655071020314059727e+00
1.062594941297146579e+04,2.655071056034142174e+00
1.062594943164925826e+04,2.655071091747926548e+00
1.062594945032705255e+04,2.655071127455418623e+00
1.062594946900484683e+04,2.655071163156615288e+00
1.062594948768263930e+04,2.655071198851513437e+00
1.062594950636043359e+04,2.655071234540117953e+00
1.062594952503822788e+04,2.655071270222427060e+00
1.062594954371602034e+04,2.655071305898435430e+00
1.062594956239381463e+04,2.655071341568151500e+00
1.062594958107160892e+04,2.655071377231569940e+00
1.062594959974940139e+04,2.655071412888688087e+00
1.062594961842719567e+04,2.655071448539512602e+00
1.062594963710498996e+04,2.655071484184039488e+00
1.062594965578278243e+04,2.655071519822265191e+00
1.062594967446057672e+04,2.655071555454196375e+00
1.062594969313837100e+04,2.655071591079829041e+00
1.062594971181616347e+04,2.655071626699160525e+00
1.062594973049395776e+04,2.655071662312196601e+00
1.062594974917175205e+04,2.655071697918933271e+00
1.062594976784954451e+04,2.655071733519368760e+00
1.062594978652733880e+04,2.655071769113507507e+00
1.062594980520513309e+04,2.655071804701346849e+00
1.062594982388292556e+04,2.655071840282883233e+00
1.062594984256071984e+04,2.655071875858123320e+00
1.062594986123851413e+04,2.655071911427063114e+00
1.062594987991630842e+04,2.655071946989702614e+00
1.062594989859410089e+04,2.655071982546038267e+00
1.062594991727189517e+04,2.655072018096076736e+00
1.062594993594968946e+04,2.655072053639814467e+00
1.062594995462748193e+04,2.655072089177246575e+00
1.062594997330527622e+04,2.655072124708381498e+00
1.062594999198307050e+04,2.655072160233214795e+00
1.062595001066086297e+04,2.655072195751742470e+00
1.062595002933865726e+04,2.655072231263972071e+00
1.062595004801645155e+04,2.655072266769899159e+00
1.062595006669424401e+04,2.655072302269520623e+00
1.062595008537203830e+04,2.655072337762843127e+00
1.062595010404983259e+04,2.655072373249861784e+00
1.062595012272762506e+04,2.655072408730574374e+00
1.062595014140541934e+04,2.655072444204987114e+00
1.062595016008321363e+04,2.655072479673096453e+00
