Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.013184277777792886e+04,2.741358780717062515e+00
1.013184279854968190e+04,2.741358841134938107e+00
1.013184281932143494e+04,2.741358901545746463e+00
1.013184284009318799e+04,2.741358961949486694e+00
1.013184286086494103e+04,2.741359022346158802e+00
1.013184288163669407e+04,2.741359082735762787e+00
1.013184290240844712e+04,2.741359143118297315e+00
1.013184292318020016e+04,2.741359203493762831e+00
1.013184294395195320e+04,2.741359263862158446e+00
1.013184296472370625e+04,2.741359324223483274e+00
1.013184298549545929e+04,2.741359384577737313e+00
1.013184300626721233e+04,2.741359444924920563e+00
1.013184302703896537e+04,2.741359505265031693e+00
1.013184304781071842e+04,2.741359565598070702e+00
1.013184306858247146e+04,2.741359625924037147e+00
1.013184308935422450e+04,2.741359686242931026e+00
1.013184311012597936e+04,2.741359746554755894e+00
1.013184313089773241e+04,2.741359806859501536e+00
1.013184315166948545e+04,2.741359867157173280e+00
1.013184317244123849e+04,2.741359927447770239e+00
1.013184319321299154e+04,2.741359987731291081e+00
1.013184321398474458e+04,2.741360048007737138e+00
1.013184323475649762e+04,2.741360108277106189e+00
1.013184325552825067e+04,2.741360168539398678e+00
1.013184327630000371e+04,2.741360228794614606e+00
1.013184329707175675e+04,2.741360289042752640e+00
1.013184331784350979e+04,2.741360349283812781e+00
1.013184333861526284e+04,2.741360409517794583e+00
1.013184335938701588e+04,2.741360469744697159e+00
1.013184338015876892e+04,2.741360529964520065e+00
1.013184340093052197e+04,2.741360590177263745e+00
1.013184342170227501e+04,2.741360650382927311e+00
1.013184344247402805e+04,2.741360710581509874e+00
1.013184346324578109e+04,2.741360770773010991e+00
1.013184348401753414e+04,2.741360830957431105e+00
1.013184350478928718e+04,2.741360891134768440e+00
1.013184352556104022e+04,2.741360951305023885e+00
1.013184354633279327e+04,2.741361011468196551e+00
1.013184356710454631e+04,2.741361071624284662e+00
1.013184358787629935e+04,2.741361131773290438e+00
1.013184360864805240e+04,2.741361191915210327e+00
1.013184362941980544e+04,2.741361252050046549e+00
1.013184365019155848e+04,2.741361312177797327e+00
1.013184367096331152e+04,2.741361372298462218e+00
1.013184369173506457e+04,2.741361432412041665e+00
1.013184371250681761e+04,2.741361492518533893e+00
1.013184373327857065e+04,2.741361552617939346e+00
1.013184375405032551e+04,2.741361612710263351e+00
1.013184377482207856e+04,2.741361672795493032e+00
1.013184379559383160e+04,2.741361732873635493e+00
1.013184381636558464e+04,2.741361792944688069e+00
1.013184383713733769e+04,2.741361853008652094e+00
1.013184385790909073e+04,2.741361913065526235e+00
1.013184387868084377e+04,2.741361973115310491e+00
1.013184389945259682e+04,2.741362033158003531e+00
1.013184392022434986e+04,2.741362093193606242e+00
1.013184394099610290e+04,2.741362153222117293e+00
1.013184396176785594e+04,2.741362213243536239e+00
1.013184398253960899e+04,2.741362273257862636e+00
1.013184400331136203e+04,2.741362333265096485e+00
1.013184402408311507e+04,2.741362393265237341e+00
1.013184404485486812e+04,2.741362453258284315e+00
1.013184406562662116e+04,2.741362513244236521e+00
1.013184408639837420e+04,2.741362573223094845e+00
1.013184410717012724e+04,2.741362633194857512e+00
1.013184412794188029e+04,2.741362693159525410e+00
1.013184414871363333e+04,2.741362753117097206e+00
1.013184416948538637e+04,2.741362813067572013e+00
1.013184419025713942e+04,2.741362873010950718e+00
1.013184421102889246e+04,2.741362932947231545e+00
1.013184423180064550e+04,2.741362992876414939e+00
1.013184425257239855e+04,2.741363052798500011e+00
1.013184427334415159e+04,2.741363112713486316e+00
1.013184429411590463e+04,2.741363172621374300e+00
1.013184431488765767e+04,2.741363232522161741e+00
1.013184433565941072e+04,2.741363292415849973e+00
1.013184435643116376e+04,2.741363352302437217e+00
1.013184437720291680e+04,2.741363412181923920e+00
1.013184439797466985e+04,2.741363472054309192e+00
1.013184441874642471e+04,2.741363531919598362e+00
1.013184443951817775e+04,2.741363591777779884e+00
1.013184446028993079e+04,2.741363651628858200e+00
1.013184448106168384e+04,2.741363711472833753e+00
1.013184450183343688e+04,2.741363771309706099e+00
1.013184452260518992e+04,2.741363831139474350e+00
1.013184454337694297e+04,2.741363890962137617e+00
1.013184456414869601e+04,2.741363950777696346e+00
1.013184458492044905e+04,2.741364010586149647e+00
1.013184460569220209e+04,2.741364070387497520e+00
1.013184462646395514e+04,2.741364130181738634e+00
1.013184464723570818e+04,2.741364189968873433e+00
1.013184466800746122e+04,2.741364249748901027e+00
1.013184468877921427e+04,2.741364309521821419e+00
1.013184470955096731e+04,2.741364369287633274e+00
1.013184473032272035e+04,2.741364429046337037e+00
1.013184475109447339e+04,2.741364488797931376e+00
1.013184477186622644e+04,2.741364548542416735e+00
1.013184479263797948e+04,2.741364608279792670e+00
1.013184481340973252e+04,2.741364668010057848e+00
1.013184483418148557e+04,2.741364727733212270e+00
1.013184485495323861e+04,2.741364787449255935e+00
1.013184487572499165e+04,2.741364847158187512e+00
1.013184489649674470e+04,2.741364906860007444e+00
1.013184491726849774e+04,2.741364966554715288e+00
1.013184493804025078e+04,2.741365026242309710e+00
1.013184495881200382e+04,2.741365085922790268e+00
1.013184497958375687e+04,2.741365145596158293e+00
1.013184500035550991e+04,2.741365205262411120e+00
1.013184502112726295e+04,2.741365264921549638e+00
1.013184504189901600e+04,2.741365324573572515e+00
1.013184506267077086e+04,2.741365384218485524e+00
1.013184508344252390e+04,2.741365443856277562e+00
1.013184510421427694e+04,2.741365503486952182e+00
1.013184512498602999e+04,2.741365563110511161e+00
1.013184514575778303e+04,2.741365622726951390e+00
1.013184516652953607e+04,2.741365682336275089e+00
1.013184518730128912e+04,2.741365741938479594e+00
1.013184520807304216e+04,2.741365801533565794e+00
1.013184522884479520e+04,2.741365861121532355e+00
1.013184524961654824e+04,2.741365920702380166e+00
1.013184527038830129e+04,2.741365980276107450e+00
1.013184529116005433e+04,2.741366039842714208e+00
1.013184531193180737e+04,2.741366099402199996e+00
1.013184533270356042e+04,2.741366158954564813e+00
1.013184535347531346e+04,2.741366218499807328e+00
1.013184537424706650e+04,2.741366278037928428e+00
1.013184539501881954e+04,2.741366337568925893e+00
1.013184541579057259e+04,2.741366397092801055e+00
1.013184543656232563e+04,2.741366456609551250e+00
1.013184545733407867e+04,2.741366516119179142e+00
1.013184547810583172e+04,2.741366575621681179e+00
1.013184549887758476e+04,2.741366635117059136e+00
1.013184551964933780e+04,2.741366694605311238e+00
1.013184554042109085e+04,2.741366754086437929e+00
1.013184556119284389e+04,2.741366813560438320e+00
1.013184558196459693e+04,2.741366873027311968e+00
1.013184560273634997e+04,2.741366932487058428e+00
1.013184562350810302e+04,2.741366991939676812e+00
1.013184564427985606e+04,2.741367051385167564e+00
1.013184566505160910e+04,2.741367110823529796e+00
1.013184568582336215e+04,2.741367170254763508e+00
1.013184570659511701e+04,2.741367229678873141e+00
1.013184572736687005e+04,2.741367289095846704e+00
1.013184574813862309e+04,2.741367348505690860e+00
1.013184576891037614e+04,2.741367407908404719e+00
1.013184578968212918e+04,2.741367467303986505e+00
1.013184581045388222e+04,2.741367526692437551e+00
1.013184583122563527e+04,2.741367586073756080e+00
1.013184585199738831e+04,2.741367645447942536e+00
1.013184587276914135e+04,2.741367704814995587e+00
1.013184589354089439e+04,2.741367764174915234e+00
1.013184591431264744e+04,2.741367823527701475e+00
1.013184593508440048e+04,2.741367882873353423e+00
1.013184595585615352e+04,2.741367942211870634e+00
1.013184597662790657e+04,2.741368001543252664e+00
1.013184599739965961e+04,2.741368060867499512e+00
1.013184601817141265e+04,2.741368120184609847e+00
1.013184603894316569e+04,2.741368179494584112e+00
1.013184605971491874e+04,2.741368238797421419e+00
1.013184608048667178e+04,2.741368298093120881e+00
1.013184610125842482e+04,2.741368357381683385e+00
1.013184612203017787e+04,2.741368416663107155e+00
1.013184614280193091e+04,2.741368475937392635e+00
1.013184616357368395e+04,2.741368535204538492e+00
1.013184618434543700e+04,2.741368594464545172e+00
1.013184620511719004e+04,2.741368653717411785e+00
1.013184622588894308e+04,2.741368712963137888e+00
1.013184624666069612e+04,2.741368772201723036e+00
