Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.882460428240709007e+03,6.609872682696375250e+02
9.882460446256400246e+03,6.610144150828331249e+02
9.882460464272089666e+03,6.610415605955452065e+02
9.882460482287780906e+03,6.610687048131026131e+02
9.882460500303470326e+03,6.610958477298720481e+02
9.882460518319161565e+03,6.611229893511820137e+02
9.882460536334850985e+03,6.611501296713992133e+02
9.882460554350542225e+03,6.611772686958521490e+02
9.882460572366233464e+03,6.612044064216479455e+02
9.882460590381922884e+03,6.612315428458947508e+02
9.882460608397614124e+03,6.612586779739193616e+02
9.882460626413303544e+03,6.612858118000907552e+02
9.882460644428994783e+03,6.613129443297355010e+02
9.882460662444684203e+03,6.613400755572221215e+02
9.882460680460375443e+03,6.613672054878775270e+02
9.882460698476066682e+03,6.613943341188096383e+02
9.882460716491756102e+03,6.614214614471272853e+02
9.882460734507447341e+03,6.614485874781563552e+02
9.882460752523136762e+03,6.614757122062667349e+02
9.882460770538828001e+03,6.615028356367836295e+02
9.882460788554517421e+03,6.615299577640777215e+02
9.882460806570208661e+03,6.615570785934736477e+02
9.882460824585899900e+03,6.615841981220804655e+02
9.882460842601589320e+03,6.616113163470081417e+02
9.882460860617280559e+03,6.616384332735807448e+02
9.882460878632969980e+03,6.616655488961697529e+02
9.882460896648661219e+03,6.616926632200988934e+02
9.882460914664350639e+03,6.617197762397406677e+02
9.882460932680041878e+03,6.617468879604176664e+02
9.882460950695733118e+03,6.617739983792405383e+02
9.882460968711422538e+03,6.618011074933197051e+02
9.882460986727113777e+03,6.618282153079773025e+02
9.882461004742803198e+03,6.618553218175873099e+02
9.882461022758494437e+03,6.618824270274711807e+02
9.882461040774183857e+03,6.619095309320034630e+02
9.882461058789875096e+03,6.619366335365050418e+02
9.882461076805566336e+03,6.619637348380872481e+02
9.882461094821255756e+03,6.619908348338616406e+02
9.882461112836946995e+03,6.620179335291487632e+02
9.882461130852636416e+03,6.620450309183243007e+02
9.882461148868327655e+03,6.620721270067078876e+02
9.882461166884017075e+03,6.620992217886758908e+02
9.882461184899708314e+03,6.621263152695477174e+02
9.882461202915399554e+03,6.621534074464353807e+02
9.882461220931088974e+03,6.621804983164515761e+02
9.882461238946780213e+03,6.622075878849150286e+02
9.882461256962469633e+03,6.622346761462030145e+02
9.882461274978160873e+03,6.622617631056339178e+02
9.882461292993850293e+03,6.622888487575856971e+02
9.882461311009541532e+03,6.623159331073757130e+02
9.882461329025232772e+03,6.623430161521175705e+02
9.882461347040922192e+03,6.623700978889246471e+02
9.882461365056613431e+03,6.623971783231132804e+02
9.882461383072302851e+03,6.624242574490638162e+02
9.882461401087994091e+03,6.624513352720920238e+02
9.882461419103683511e+03,6.624784117865776807e+02
9.882461437119374750e+03,6.625054869978370107e+02
9.882461455135065989e+03,6.625325609029839597e+02
9.882461473150755410e+03,6.625596334991330423e+02
9.882461491166446649e+03,6.625867047915993453e+02
9.882461509182136069e+03,6.626137747747641242e+02
9.882461527197827309e+03,6.626408434539418977e+02
9.882461545213516729e+03,6.626679108235147169e+02
9.882461563229207968e+03,6.626949768887965320e+02
9.882461581244899207e+03,6.627220416469020847e+02
9.882461599260588628e+03,6.627491050949473674e+02
9.882461617276279867e+03,6.627761672382453071e+02
9.882461635291969287e+03,6.628032280711793192e+02
9.882461653307660526e+03,6.628302875990618759e+02
9.882461671323349947e+03,6.628573458162773022e+02
9.882461689339041186e+03,6.628844027281370472e+02
9.882461707354732425e+03,6.629114583317574443e+02
9.882461725370421846e+03,6.629385126242553952e+02
9.882461743386113085e+03,6.629655656109417805e+02
9.882461761401802505e+03,6.629926172862022895e+02
9.882461779417493744e+03,6.630196676553472344e+02
9.882461797433183165e+03,6.630467167127626453e+02
9.882461815448874404e+03,6.630737644637589483e+02
9.882461833464563824e+03,6.631008109027221735e+02
