Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.917309675925876945e+03,2.653301109863729135e+00
9.917309697571559809e+03,2.653301071760602259e+00
9.917309719217242673e+03,2.653301033658578056e+00
9.917309740862925537e+03,2.653300995557656528e+00
9.917309762508608401e+03,2.653300957457837672e+00
9.917309784154293084e+03,2.653300919359118382e+00
9.917309805799975948e+03,2.653300881261505317e+00
9.917309827445658811e+03,2.653300843164994927e+00
9.917309849091341675e+03,2.653300805069588097e+00
9.917309870737024539e+03,2.653300766975284386e+00
9.917309892382707403e+03,2.653300728882083792e+00
9.917309914028390267e+03,2.653300690789986760e+00
9.917309935674073131e+03,2.653300652698993733e+00
9.917309957319757814e+03,2.653300614609101160e+00
9.917309978965440678e+03,2.653300576520315701e+00
9.917310000611123542e+03,2.653300538432633804e+00
9.917310022256806405e+03,2.653300500346056801e+00
9.917310043902489269e+03,2.653300462260583359e+00
9.917310065548172133e+03,2.653300424176214367e+00
9.917310087193854997e+03,2.653300386092949381e+00
9.917310108839537861e+03,2.653300348010790177e+00
9.917310130485222544e+03,2.653300309929731871e+00
9.917310152130905408e+03,2.653300271849781566e+00
9.917310173776588272e+03,2.653300233770935712e+00
9.917310195422271136e+03,2.653300195693195640e+00
9.917310217067954000e+03,2.653300157616560462e+00
9.917310238713636863e+03,2.653300119541031066e+00
9.917310260359319727e+03,2.653300081466607008e+00
9.917310282005002591e+03,2.653300043393287844e+00
9.917310303650687274e+03,2.653300005321071797e+00
9.917310325296370138e+03,2.653299967249964197e+00
9.917310346942053002e+03,2.653299929179962824e+00
9.917310368587735866e+03,2.653299891111067677e+00
9.917310390233418730e+03,2.653299853043278755e+00
9.917310411879101594e+03,2.653299814976595616e+00
9.917310433524784457e+03,2.653299776911019148e+00
9.917310455170467321e+03,2.653299738846549349e+00
9.917310476816152004e+03,2.653299700783182224e+00
9.917310498461834868e+03,2.653299662720926211e+00
9.917310520107517732e+03,2.653299624659775979e+00
9.917310541753200596e+03,2.653299586599733306e+00
9.917310563398883460e+03,2.653299548540797748e+00
9.917310585044566324e+03,2.653299510482969303e+00
9.917310606690249188e+03,2.653299472426247974e+00
9.917310628335932051e+03,2.653299434370634646e+00
9.917310649981616734e+03,2.653299396316125325e+00
9.917310671627299598e+03,2.653299358262727559e+00
9.917310693272982462e+03,2.653299320210436907e+00
9.917310714918665326e+03,2.653299282159254702e+00
9.917310736564348190e+03,2.653299244109180055e+00
9.917310758210031054e+03,2.653299206060213855e+00
9.917310779855713918e+03,2.653299168012356102e+00
9.917310801501396782e+03,2.653299129965606351e+00
9.917310823147079645e+03,2.653299091919965935e+00
9.917310844792764328e+03,2.653299053875430413e+00
9.917310866438447192e+03,2.653299015832006891e+00
9.917310888084130056e+03,2.653298977789692259e+00
9.917310909729812920e+03,2.653298939748486962e+00
9.917310931375495784e+03,2.653298901708390556e+00
9.917310953021178648e+03,2.653298863669403485e+00
9.917310974666861512e+03,2.653298825631526192e+00
9.917310996312544376e+03,2.653298787594757790e+00
