Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.908226643518544734e+03,2.739321011846282072e+00
9.908226666740774817e+03,2.739321033492199575e+00
9.908226689963004901e+03,2.739321055140663930e+00
9.908226713185233166e+03,2.739321076791671583e+00
9.908226736407463250e+03,2.739321098445227420e+00
9.908226759629693333e+03,2.739321120101328777e+00
9.908226782851923417e+03,2.739321141759976097e+00
9.908226806074151682e+03,2.739321163421166716e+00
9.908226829296381766e+03,2.739321185084905075e+00
9.908226852518611850e+03,2.739321206751189397e+00
9.908226875740841933e+03,2.739321228420018350e+00
9.908226898963070198e+03,2.739321250091391047e+00
9.908226922185300282e+03,2.739321271765311039e+00
9.908226945407530366e+03,2.739321293441776550e+00
9.908226968629760449e+03,2.739321315120786693e+00
9.908226991851988714e+03,2.739321336802340134e+00
9.908227015074218798e+03,2.739321358486439983e+00
9.908227038296448882e+03,2.739321380173085352e+00
9.908227061518678966e+03,2.739321401862275351e+00
9.908227084740907230e+03,2.739321423554007762e+00
9.908227107963137314e+03,2.739321445248287024e+00
9.908227131185367398e+03,2.739321466945110917e+00
9.908227154407597482e+03,2.739321488644478553e+00
9.908227177629825746e+03,2.739321510346389488e+00
9.908227200852055830e+03,2.739321532050846386e+00
9.908227224074285914e+03,2.739321553757847472e+00
9.908227247296515998e+03,2.739321575467392744e+00
9.908227270518744263e+03,2.739321597179480428e+00
9.908227293740974346e+03,2.739321618894113630e+00
9.908227316963204430e+03,2.739321640611291020e+00
9.908227340185434514e+03,2.739321662331012153e+00
9.908227363407662779e+03,2.739321684053275252e+00
9.908227386629892862e+03,2.739321705778084315e+00
9.908227409852122946e+03,2.739321727505436233e+00
9.908227433074353030e+03,2.739321749235331893e+00
9.908227456296581295e+03,2.739321770967769076e+00
9.908227479518811379e+03,2.739321792702751779e+00
9.908227502741041462e+03,2.739321814440277780e+00
9.908227525963271546e+03,2.739321836180346637e+00
9.908227549185499811e+03,2.739321857922957015e+00
9.908227572407729895e+03,2.739321879668112469e+00
9.908227595629959978e+03,2.739321901415810334e+00
9.908227618852190062e+03,2.739321923166051054e+00
