Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.908226643518544734e+03,3.163249069264760394e+01
9.908226666740774817e+03,3.164039287071533479e+01
9.908226689963004901e+03,3.164829597825681518e+01
9.908226713185233166e+03,3.165620001462418642e+01
9.908226736407463250e+03,3.166410498102699123e+01
9.908226759629693333e+03,3.167201087681747040e+01
9.908226782851923417e+03,3.167991770196693224e+01
9.908226806074151682e+03,3.168782545582719834e+01
9.908226829296381766e+03,3.169573413960842245e+01
9.908226852518611850e+03,3.170364375266252210e+01
9.908226875740841933e+03,3.171155429496074518e+01
9.908226898963070198e+03,3.171946576585465394e+01
9.908226922185300282e+03,3.172737816655495280e+01
9.908226945407530366e+03,3.173529149641326086e+01
9.908226968629760449e+03,3.174320575540083311e+01
9.908226991851988714e+03,3.175112094286890851e+01
9.908227015074218798e+03,3.175903706002877058e+01
9.908227038296448882e+03,3.176695410623165117e+01
9.908227061518678966e+03,3.177487208144894026e+01
9.908227084740907230e+03,3.178279098503145406e+01
9.908227107963137314e+03,3.179071081819111555e+01
9.908227131185367398e+03,3.179863158027884040e+01
9.908227154407597482e+03,3.180655327126591914e+01
9.908227177629825746e+03,3.181447589050301161e+01
9.908227200852055830e+03,3.182239943920245651e+01
9.908227224074285914e+03,3.183032391671500605e+01
9.908227247296515998e+03,3.183824932301185839e+01
9.908227270518744263e+03,3.184617565744335366e+01
9.908227293740974346e+03,3.185410292122246290e+01
9.908227316963204430e+03,3.186203111369956531e+01
9.908227340185434514e+03,3.186996023484588392e+01
9.908227363407662779e+03,3.187789028401140712e+01
9.908227386629892862e+03,3.188582126240975256e+01
9.908227409852122946e+03,3.189375316939094063e+01
9.908227433074353030e+03,3.190168600492619433e+01
9.908227456296581295e+03,3.190961976836528535e+01
9.908227479518811379e+03,3.191755446092217241e+01
9.908227502741041462e+03,3.192549008194682258e+01
9.908227525963271546e+03,3.193342663141032389e+01
9.908227549185499811e+03,3.194136410866206788e+01
9.908227572407729895e+03,3.194930251491681261e+01
9.908227595629959978e+03,3.195724184952394253e+01
9.908227618852190062e+03,3.196518211245474816e+01
9.908227642074418327e+03,3.197312330305823380e+01
9.908227665296648411e+03,3.198106542254969398e+01
9.908227688518878495e+03,3.198900847027830352e+01
9.908227711741108578e+03,3.199695244621524282e+01
9.908227734963336843e+03,3.200489734970923195e+01
9.908227758185566927e+03,3.201284318197618006e+01
9.908227781407797011e+03,3.202078994236490672e+01
9.908227804630027094e+03,3.202873763084658520e+01
9.908227827852255359e+03,3.203668624676969046e+01
9.908227851074485443e+03,3.204463579135060769e+01
9.908227874296715527e+03,3.205258626393792554e+01
9.908227897518945610e+03,3.206053766450273912e+01
9.908227920741173875e+03,3.206848999239333864e+01
9.908227943963403959e+03,3.207644324882654274e+01
9.908227967185634043e+03,3.208439743315068426e+01
9.908227990407864127e+03,3.209235254533687964e+01
9.908228013630092391e+03,3.210030858473304960e+01
9.908228036852322475e+03,3.210826555255663806e+01
9.908228060074552559e+03,3.211622344815565810e+01
9.908228083296782643e+03,3.212418227150120487e+01
9.908228106519010908e+03,3.213214202194087932e+01
9.908228129741240991e+03,3.214010270069275776e+01
9.908228152963471075e+03,3.214806430710446961e+01
9.908228176185701159e+03,3.215602684114715260e+01
9.908228199407929424e+03,3.216399030216803823e+01
9.908228222630159507e+03,3.217195469138582808e+01
9.908228245852389591e+03,3.217992000814781761e+01
9.908228269074619675e+03,3.218788625242518719e+01
9.908228292296847940e+03,3.219585342356481306e+01
9.908228315519078023e+03,3.220382152278592969e+01
9.908228338741308107e+03,3.221179054943560516e+01
9.908228361963538191e+03,3.221976050348494880e+01
9.908228385185766456e+03,3.222773138428058104e+01
9.908228408407996540e+03,3.223570319304229770e+01
9.908228431630226623e+03,3.224367592911684710e+01
9.908228454852456707e+03,3.225164959247528174e+01
9.908228478074684972e+03,3.225962418246402308e+01
