Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.014846018518507481e+04,4.156617303870403790e-02
1.014846020605984813e+04,4.165703036063016229e-02
1.014846022693461964e+04,4.174798684450550107e-02
1.014846024780939297e+04,4.183904250609243175e-02
1.014846026868416629e+04,4.193019733736799703e-02
1.014846028955893780e+04,4.202145133028824253e-02
1.014846031043371113e+04,4.211280450064704139e-02
1.014846033130848264e+04,4.220425683244049403e-02
1.014846035218325596e+04,4.229580834150448859e-02
1.014846037305802929e+04,4.238745901978455827e-02
1.014846039393280080e+04,4.247920885917373657e-02
1.014846041480757413e+04,4.257105787558142923e-02
1.014846043568234745e+04,4.266300606090066977e-02
1.014846045655711896e+04,4.275505340702447782e-02
1.014846047743189229e+04,4.284719992989376863e-02
1.014846049830666561e+04,4.293944562140156879e-02
1.014846051918143712e+04,4.303179047338840518e-02
1.014846054005621045e+04,4.312423450186868984e-02
1.014846056093098196e+04,4.321677769060748575e-02
1.014846058180575528e+04,4.330942005566119912e-02
1.014846060268052861e+04,4.340216158885987219e-02
1.014846062355530012e+04,4.349500228202302088e-02
1.014846064443007344e+04,4.358794215121756382e-02
1.014846066530484677e+04,4.368098118826301696e-02
1.014846068617961828e+04,4.377411938495791299e-02
1.014846070705439161e+04,4.386735675742167023e-02
1.014846072792916493e+04,4.396069329744230203e-02
1.014846074880393644e+04,4.405412899678684546e-02
1.014846076967870977e+04,4.414766387163771011e-02
1.014846079055348127e+04,4.424129790559194753e-02
1.014846081142825460e+04,4.433503111487399617e-02
1.014846083230302793e+04,4.442886349122986828e-02
1.014846085317779944e+04,4.452279502636358188e-02
1.014846087405257276e+04,4.461682573655206124e-02
1.014846089492734609e+04,4.471095561353083392e-02
1.014846091580211760e+04,4.480518464896190295e-02
1.014846093667689092e+04,4.489951285918521856e-02
1.014846095755166243e+04,4.499394022765080409e-02
1.014846097842643576e+04,4.508846677071961379e-02
1.014846099930120909e+04,4.518309248007464779e-02
1.014846102017598059e+04,4.527781734735691899e-02
1.014846104105075392e+04,4.537264138896938276e-02
1.014846106192552725e+04,4.546756459656353666e-02
1.014846108280029875e+04,4.556258696175938261e-02
1.014846110367507208e+04,4.565770850102289502e-02
1.014846112454984541e+04,4.575292920596355645e-02
1.014846114542461692e+04,4.584824906818037865e-02
1.014846116629939024e+04,4.594366810418132330e-02
1.014846118717416175e+04,4.603918629724840228e-02
1.014846120804893508e+04,4.613480366391058130e-02
1.014846122892370840e+04,4.623052019576685823e-02
1.014846124979847991e+04,4.632633588434272726e-02
1.014846127067325324e+04,4.642225074625117021e-02
1.014846129154802657e+04,4.651826477304916996e-02
1.014846131242279807e+04,4.661437795624123054e-02
1.014846133329757140e+04,4.671059031249281956e-02
1.014846135417234473e+04,4.680690183331893961e-02
1.014846137504711623e+04,4.690331251022407388e-02
1.014846139592188956e+04,4.699982235990521340e-02
1.014846141679666107e+04,4.709643136543433667e-02
1.014846143767143440e+04,4.719313954356094826e-02
1.014846145854620772e+04,4.728994688575802186e-02
1.014846147942097923e+04,4.738685338348803955e-02
