Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.891595520833507180e+03,5.644929221258352214e+01
9.891595543725843527e+03,5.644738505338825973e+01
9.891595566618178054e+03,5.644547791086749555e+01
9.891595589510514401e+03,5.644357078471933420e+01
9.891595612402848928e+03,5.644166367524779560e+01
9.891595635295185275e+03,5.643975658215097013e+01
9.891595658187519803e+03,5.643784950573289905e+01
9.891595681079856149e+03,5.643594244569165141e+01
9.891595703972190677e+03,5.643403540233128268e+01
9.891595726864527023e+03,5.643212837534987614e+01
9.891595749756863370e+03,5.643022136489988583e+01
9.891595772649197897e+03,5.642831437113409265e+01
9.891595795541534244e+03,5.642640739375032410e+01
9.891595818433868772e+03,5.642450043305276353e+01
9.891595841326205118e+03,5.642259348873943736e+01
9.891595864218539646e+03,5.642068656111448632e+01
9.891595887110875992e+03,5.641877964987580185e+01
9.891595910003210520e+03,5.641687275532760992e+01
9.891595932895546866e+03,5.641496587716786593e+01
9.891595955787881394e+03,5.641305901570070347e+01
9.891595978680217740e+03,5.641115217062411347e+01
9.891596001572554087e+03,5.640924534209072760e+01
9.891596024464888615e+03,5.640733853025303546e+01
9.891596047357224961e+03,5.640543173480916295e+01
9.891596070249559489e+03,5.640352495606310157e+01
9.891596093141895835e+03,5.640161819371299856e+01
9.891596116034230363e+03,5.639971144806280989e+01
9.891596138926566709e+03,5.639780471881071122e+01
9.891596161818901237e+03,5.639589800626063720e+01
9.891596184711237584e+03,5.639399131011076349e+01
9.891596207603573930e+03,5.639208463051357256e+01
9.891596230495908458e+03,5.639017796762163215e+01
9.891596253388244804e+03,5.638827132113304685e+01
9.891596276280579332e+03,5.638636469135190055e+01
9.891596299172915678e+03,5.638445807797611309e+01
9.891596322065250206e+03,5.638255148130989625e+01
9.891596344957586552e+03,5.638064490105122673e+01
9.891596367849921080e+03,5.637873833750420971e+01
9.891596390742257427e+03,5.637683179036686454e+01
9.891596413634591954e+03,5.637492525994326797e+01
9.891596436526928301e+03,5.637301874593152462e+01
9.891596459419264647e+03,5.637111224848415958e+01
9.891596482311599175e+03,5.636920576775366243e+01
9.891596505203935521e+03,5.636729930343823014e+01
9.891596528096270049e+03,5.636539285584178316e+01
9.891596550988606396e+03,5.636348642466251846e+01
9.891596573880940923e+03,5.636158001020435648e+01
9.891596596773277270e+03,5.635967361216545157e+01
9.891596619665611797e+03,5.635776723084985917e+01
9.891596642557948144e+03,5.635586086595559863e+01
9.891596665450284490e+03,5.635395451763526609e+01
9.891596688342619018e+03,5.635204818604145771e+01
9.891596711234955364e+03,5.635014187087209336e+01
9.891596734127289892e+03,5.634823557243136349e+01
9.891596757019626239e+03,5.634632929041728744e+01
9.891596779911960766e+03,5.634442302513392065e+01
9.891596802804297113e+03,5.634251677627934640e+01
9.891596825696631640e+03,5.634061054415754199e+01
9.891596848588967987e+03,5.633870432846673282e+01
9.891596871481304333e+03,5.633679812935935871e+01
9.891596894373638861e+03,5.633489194698793767e+01
9.891596917265975208e+03,5.633298578105067378e+01
9.891596940158309735e+03,5.633107963185143774e+01
9.891596963050646082e+03,5.632917349908849758e+01
9.891596985942980609e+03,5.632726738306572400e+01
9.891597008835316956e+03,5.632536128348132110e+01
9.891597031727651483e+03,5.632345520063926614e+01
9.891597054619987830e+03,5.632154913423766374e+01
9.891597077512322358e+03,5.631964308458054091e+01
9.891597100404658704e+03,5.631773705136599517e+01
9.891597123296995051e+03,5.631583103474656582e+01
9.891597146189329578e+03,5.631392503487478507e+01
9.891597169081665925e+03,5.631201905144875752e+01
9.891597191974000452e+03,5.631011308477249599e+01
9.891597214866336799e+03,5.630820713454412640e+01
9.891597237758671326e+03,5.630630120106759762e+01
9.891597260651007673e+03,5.630439528404114213e+01
9.891597283543342201e+03,5.630248938376865198e+01
9.891597306435678547e+03,5.630058349994829570e+01
9.891597329328014894e+03,5.629867763273263392e+01
9.891597352220349421e+03,5.629677178227405676e+01
9.891597375112685768e+03,5.629486594827088908e+01
9.891597398005020295e+03,5.629296013102693053e+01
9.891597420897356642e+03,5.629105433024043492e+01
9.891597443789691170e+03,5.628914854621535824e+01
9.891597466682027516e+03,5.628724277864982639e+01
9.891597489574362044e+03,5.628533702784781667e+01
9.891597512466698390e+03,5.628343129350749763e+01
9.891597535359032918e+03,5.628152557593282523e+01
9.891597558251369264e+03,5.627961987482194672e+01
9.891597581143705611e+03,5.627771419032737299e+01
9.891597604036040138e+03,5.627580852260158650e+01
9.891597626928376485e+03,5.627390287134286240e+01
9.891597649820711013e+03,5.627199723685499322e+01
9.891597672713047359e+03,5.627009161883630384e+01
9.891597695605381887e+03,5.626818601759062943e+01
9.891597718497718233e+03,5.626628043281617408e+01
9.891597741390052761e+03,5.626437486481685823e+01
9.891597764282389107e+03,5.626246931329097123e+01
9.891597787174725454e+03,5.626056377839089606e+01
9.891597810067059982e+03,5.625865826026915784e+01
9.891597832959396328e+03,5.625675275862395353e+01
9.891597855851730856e+03,5.625484727375921779e+01
9.891597878744067202e+03,5.625294180537311917e+01
9.891597901636401730e+03,5.625103635376961364e+01
9.891597924528738076e+03,5.624913091864686976e+01
9.891597947421072604e+03,5.624722550030882928e+01
9.891597970313408950e+03,5.624532009845368918e+01
9.891597993205745297e+03,5.624341471323391062e+01
9.891598016098079825e+03,5.624150934480199737e+01
9.891598038990416171e+03,5.623960399285621037e+01
9.891598061882750699e+03,5.623769865770034215e+01
9.891598084775087045e+03,5.623579333903275312e+01
9.891598107667421573e+03,5.623388803715722872e+01
9.891598130559757919e+03,5.623198275177202987e+01
9.891598153452092447e+03,5.623007748318101306e+01
9.891598176344428794e+03,5.622817223108251028e+01
9.891598199236763321e+03,5.622626699578025722e+01
9.891598222129099668e+03,5.622436177697266402e+01
9.891598245021436014e+03,5.622245657481206393e+01
9.891598267913770542e+03,5.622055138945097497e+01
9.891598290806106888e+03,5.621864622058762961e+01
9.891598313698441416e+03,5.621674106852591990e+01
9.891598336590777762e+03,5.621483593296407832e+01
9.891598359483112290e+03,5.621293081420596849e+01
9.891598382375448637e+03,5.621102571194984421e+01
9.891598405267783164e+03,5.620912062649959751e+01
9.891598428160119511e+03,5.620721555755341114e+01
9.891598451052455857e+03,5.620531050526388128e+01
9.891598473944790385e+03,5.620340546978334828e+01
9.891598496837126731e+03,5.620150045081010148e+01
9.891598519729461259e+03,5.619959544864796896e+01
9.891598542621797606e+03,5.619769046299532533e+01
9.891598565514132133e+03,5.619578549415588498e+01
9.891598588406468480e+03,5.619388054182804382e+01
9.891598611298803007e+03,5.619197560631550914e+01
9.891598634191139354e+03,5.619007068731670529e+01
9.891598657083473881e+03,5.618816578513532534e+01
9.891598679975810228e+03,5.618626089946980073e+01
9.891598702868146574e+03,5.618435603047246474e+01
9.891598725760481102e+03,5.618245117829579982e+01
9.891598748652817449e+03,5.618054634263809533e+01
9.891598771545151976e+03,5.617864152380318643e+01
9.891598794437488323e+03,5.617673672148934827e+01
9.891598817329822850e+03,5.617483193600040892e+01
9.891598840222159197e+03,5.617292716703464350e+01
9.891598863114493724e+03,5.617102241489596537e+01
9.891598886006830071e+03,5.616911767928258570e+01
9.891598908899166418e+03,5.616721296034695854e+01
9.891598931791500945e+03,5.616530825824148110e+01
9.891598954683837292e+03,5.616340357266459193e+01
9.891598977576171819e+03,5.616149890391993438e+01
9.891599000468508166e+03,5.615959425170598251e+01
9.891599023360842693e+03,5.615768961632637257e+01
9.891599046253179040e+03,5.615578499747957153e+01
9.891599069145513567e+03,5.615388039546925825e+01
9.891599092037849914e+03,5.615197580999387128e+01
9.891599114930186261e+03,5.615007124120575099e+01
9.891599137822520788e+03,5.614816668925733723e+01
9.891599160714857135e+03,5.614626215384698327e+01
9.891599183607191662e+03,5.614435763527843903e+01
9.891599206499528009e+03,5.614245313325004361e+01
9.891599229391862536e+03,5.614054864806565348e+01
9.891599252284198883e+03,5.613864417942348695e+01
9.891599275176533411e+03,5.613673972762742181e+01
9.891599298068869757e+03,5.613483529237579717e+01
9.891599320961204285e+03,5.613293087397227765e+01
9.891599343853540631e+03,5.613102647211532314e+01
9.891599366745876978e+03,5.612912208695734506e+01
9.891599389638211505e+03,5.612721771865064824e+01
9.891599412530547852e+03,5.612531336689373518e+01
9.891599435422882379e+03,5.612340903199021369e+01
9.891599458315218726e+03,5.612150471363860049e+01
9.891599481207553254e+03,5.611960041214248918e+01
9.891599504099889600e+03,5.611769612720040357e+01
9.891599526992224128e+03,5.611579185911593726e+01
9.891599549884560474e+03,5.611388760758762828e+01
9.891599572776896821e+03,5.611198337276775305e+01
9.891599595669231348e+03,5.611007915480873010e+01
9.891599618561567695e+03,5.610817495340894823e+01
9.891599641453902223e+03,5.610627076887220710e+01
9.891599664346238569e+03,5.610436660089677474e+01
9.891599687238573097e+03,5.610246244978647212e+01
9.891599710130909443e+03,5.610055831523967385e+01
9.891599733023243971e+03,5.609865419756008009e+01
9.891599755915580317e+03,5.609675009644610100e+01
9.891599778807914845e+03,5.609484601220148647e+01
9.891599801700251192e+03,5.609294194452454008e+01
9.891599824592587538e+03,5.609103789356778691e+01
9.891599847484922066e+03,5.608913385948345365e+01
9.891599870377258412e+03,5.608722984197011385e+01
9.891599893269592940e+03,5.608532584133131849e+01
9.891599916161929286e+03,5.608342185726562690e+01
9.891599939054263814e+03,5.608151789007659715e+01
9.891599961946600160e+03,5.607961393946280282e+01
9.891599984838934688e+03,5.607771000572777353e+01
9.891600007731271035e+03,5.607580608857010418e+01
9.891600030623607381e+03,5.607390218814200011e+01
9.891600053515941909e+03,5.607199830459599355e+01
9.891600076408278255e+03,5.607009443763036671e+01
9.891600099300612783e+03,5.606819058754891927e+01
9.891600122192949129e+03,5.606628675405003293e+01
9.891600145085283657e+03,5.606438293743739365e+01
9.891600167977620004e+03,5.606247913740946842e+01
9.891600190869954531e+03,5.606057535426988636e+01
9.891600213762290878e+03,5.605867158771713576e+01
9.891600236654627224e+03,5.605676783790359963e+01
9.891600259546961752e+03,5.605486410498151173e+01
9.891600282439298098e+03,5.605296038864950248e+01
9.891600305331632626e+03,5.605105668921105888e+01
9.891600328223968972e+03,5.604915300636482556e+01
9.891600351116303500e+03,5.604724934041427531e+01
9.891600374008639847e+03,5.604534569105801722e+01
9.891600396900974374e+03,5.604344205859958095e+01
9.891600419793310721e+03,5.604153844273756846e+01
9.891600442685645248e+03,5.603963484377548099e+01
9.891600465577981595e+03,5.603773126141194183e+01
9.891600488470317941e+03,5.603582769579914924e+01
9.891600511362652469e+03,5.603392414708955727e+01
9.891600534254988816e+03,5.603202061498161868e+01
9.891600557147323343e+03,5.603011709977895549e+01
9.891600580039659690e+03,5.602821360118007732e+01
9.891600602931994217e+03,5.602631011948859197e+01
9.891600625824330564e+03,5.602440665440299483e+01
9.891600648716665091e+03,5.602250320622690793e+01
9.891600671609001438e+03,5.602059977465884089e+01
9.891600694501337784e+03,5.601869635985115536e+01
9.891600717393672312e+03,5.601679296195607805e+01
9.891600740286008659e+03,5.601488958067226775e+01
9.891600763178343186e+03,5.601298621630316887e+01
9.891600786070679533e+03,5.601108286854746154e+01
9.891600808963014060e+03,5.600917953770858304e+01
9.891600831855350407e+03,5.600727622348522061e+01
9.891600854747684934e+03,5.600537292618079732e+01
9.891600877640021281e+03,5.600346964549397910e+01
9.891600900532355809e+03,5.600156638172827428e+01
9.891600923424692155e+03,5.599966313458225642e+01
9.891600946317028502e+03,5.599775990420823746e+01
9.891600969209363029e+03,5.599585669075850802e+01
9.891600992101699376e+03,5.599395349393164167e+01
9.891601014994033903e+03,5.599205031403118937e+01
9.891601037886370250e+03,5.599014715075571047e+01
9.891601060778704777e+03,5.598824400440875593e+01
9.891601083671041124e+03,5.598634087468889931e+01
9.891601106563375652e+03,5.598443776189964893e+01
9.891601129455711998e+03,5.598253466573969916e+01
9.891601152348048345e+03,5.598063158636124825e+01
9.891601175240382872e+03,5.597872852391655130e+01
9.891601198132719219e+03,5.597682547810432396e+01
9.891601221025053746e+03,5.597492244922793247e+01
9.891601243917390093e+03,5.597301943698614224e+01
9.891601266809724621e+03,5.597111644168231237e+01
9.891601289702060967e+03,5.596921346301515143e+01
9.891601312594395495e+03,5.596731050128814644e+01
9.891601335486731841e+03,5.596540755619989937e+01
9.891601358379068188e+03,5.596350462790268665e+01
9.891601381271402715e+03,5.596160171654880600e+01
9.891601404163739062e+03,5.595969882183684518e+01
9.891601427056073589e+03,5.595779594407033386e+01
