Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.891595520833507180e+03,2.828117983701686455e+01
9.891595543725843527e+03,2.828206202993212059e+01
9.891595566618178054e+03,2.828294423308479821e+01
9.891595589510514401e+03,2.828382644661486722e+01
9.891595612402848928e+03,2.828470867038192793e+01
9.891595635295185275e+03,2.828559090452594305e+01
9.891595658187519803e+03,2.828647314890651643e+01
9.891595681079856149e+03,2.828735540366362855e+01
9.891595703972190677e+03,2.828823766865686551e+01
9.891595726864527023e+03,2.828911994402620778e+01
9.891595749756863370e+03,2.829000222970134715e+01
9.891595772649197897e+03,2.829088452561194700e+01
9.891595795541534244e+03,2.829176683189801622e+01
9.891595818433868772e+03,2.829264914841912670e+01
9.891595841326205118e+03,2.829353147531527313e+01
9.891595864218539646e+03,2.829441381244603093e+01
9.891595887110875992e+03,2.829529615995139125e+01
9.891595910003210520e+03,2.829617851769092596e+01
9.891595932895546866e+03,2.829706088580463330e+01
9.891595955787881394e+03,2.829794326415209227e+01
9.891595978680217740e+03,2.829882565287329044e+01
9.891596001572554087e+03,2.829970805189791605e+01
9.891596024464888615e+03,2.830059046115563248e+01
9.891596047357224961e+03,2.830147288078645929e+01
9.891596070249559489e+03,2.830235531064995058e+01
9.891596093141895835e+03,2.830323775088611171e+01
9.891596116034230363e+03,2.830412020135450391e+01
9.891596138926566709e+03,2.830500266219512895e+01
9.891596161818901237e+03,2.830588513326756939e+01
9.891596184711237584e+03,2.830676761471181280e+01
9.891596207603573930e+03,2.830765010645755453e+01
9.891596230495908458e+03,2.830853260843444019e+01
9.891596253388244804e+03,2.830941512078248934e+01
9.891596276280579332e+03,2.831029764336126320e+01
9.891596299172915678e+03,2.831118017631077421e+01
9.891596322065250206e+03,2.831206271949056585e+01
9.891596344957586552e+03,2.831294527304068964e+01
9.891596367849921080e+03,2.831382783682064286e+01
9.891596390742257427e+03,2.831471041097049479e+01
9.891596413634591954e+03,2.831559299534976759e+01
9.891596436526928301e+03,2.831647559009849502e+01
9.891596459419264647e+03,2.831735819514633690e+01
9.891596482311599175e+03,2.831824081042294594e+01
9.891596505203935521e+03,2.831912343606836302e+01
9.891596528096270049e+03,2.832000607194212449e+01
9.891596550988606396e+03,2.832088871818426412e+01
9.891596573880940923e+03,2.832177137465431827e+01
9.891596596773277270e+03,2.832265404149232069e+01
9.891596619665611797e+03,2.832353671855779353e+01
9.891596642557948144e+03,2.832441940599079544e+01
9.891596665450284490e+03,2.832530210372096491e+01
9.891596688342619018e+03,2.832618481167796531e+01
9.891596711234955364e+03,2.832706753000184463e+01
9.891596734127289892e+03,2.832795025855211080e+01
9.891596757019626239e+03,2.832883299746883665e+01
9.891596779911960766e+03,2.832971574661151593e+01
9.891596802804297113e+03,2.833059850612022146e+01
9.891596825696631640e+03,2.833148127585444698e+01
9.891596848588967987e+03,2.833236405595425822e+01
9.891596871481304333e+03,2.833324684634932211e+01
9.891596894373638861e+03,2.833412964696925584e+01
9.891596917265975208e+03,2.833501245795413581e+01
9.891596940158309735e+03,2.833589527916346640e+01
9.891596963050646082e+03,2.833677811073731689e+01
9.891596985942980609e+03,2.833766095253516681e+01
9.891597008835316956e+03,2.833854380469711387e+01
9.891597031727651483e+03,2.833942666708265179e+01
9.891597054619987830e+03,2.834030953983183210e+01
9.891597077512322358e+03,2.834119242280417339e+01
9.891597100404658704e+03,2.834207531613974496e+01
9.891597123296995051e+03,2.834295821976817464e+01
9.891597146189329578e+03,2.834384113361910096e+01
9.891597169081665925e+03,2.834472405783261451e+01
9.891597191974000452e+03,2.834560699226819835e+01
9.891597214866336799e+03,2.834648993706594311e+01
9.891597237758671326e+03,2.834737289208531763e+01
9.891597260651007673e+03,2.834825585746641607e+01
9.891597283543342201e+03,2.834913883306871440e+01
9.891597306435678547e+03,2.835002181903232099e+01
9.891597329328014894e+03,2.835090481528684947e+01
9.891597352220349421e+03,2.835178782176192058e+01
9.891597375112685768e+03,2.835267083859765336e+01
9.891597398005020295e+03,2.835355386565349534e+01
9.891597420897356642e+03,2.835443690306959041e+01
9.891597443789691170e+03,2.835531995070533640e+01
9.891597466682027516e+03,2.835620300870089139e+01
9.891597489574362044e+03,2.835708607691571004e+01
9.891597512466698390e+03,2.835796915548989006e+01
9.891597535359032918e+03,2.835885224428288254e+01
9.891597558251369264e+03,2.835973534343480651e+01
9.891597581143705611e+03,2.836061845287530403e+01
9.891597604036040138e+03,2.836150157253396742e+01
9.891597626928376485e+03,2.836238470255091926e+01
9.891597649820711013e+03,2.836326784278561419e+01
9.891597672713047359e+03,2.836415099337816770e+01
9.891597695605381887e+03,2.836503415418802376e+01
9.891597718497718233e+03,2.836591732535531918e+01
9.891597741390052761e+03,2.836680050673948372e+01
9.891597764282389107e+03,2.836768369848065774e+01
9.891597787174725454e+03,2.836856690050844421e+01
9.891597810067059982e+03,2.836945011275245676e+01
9.891597832959396328e+03,2.837033333535282509e+01
9.891597855851730856e+03,2.837121656816898607e+01
9.891597878744067202e+03,2.837209981134106940e+01
9.891597901636401730e+03,2.837298306472852616e+01
9.891597924528738076e+03,2.837386632847147183e+01
9.891597947421072604e+03,2.837474960242935396e+01
9.891597970313408950e+03,2.837563288674230222e+01
9.891597993205745297e+03,2.837651618133992315e+01
9.891598016098079825e+03,2.837739948615180907e+01
9.891598038990416171e+03,2.837828280131813585e+01
9.891598061882750699e+03,2.837916612669830485e+01
9.891598084775087045e+03,2.838004946243247417e+01
9.891598107667421573e+03,2.838093280838004873e+01
9.891598130559757919e+03,2.838181616468119373e+01
9.891598153452092447e+03,2.838269953119531053e+01
9.891598176344428794e+03,2.838358290806257145e+01
9.891598199236763321e+03,2.838446629514236363e+01
9.891598222129099668e+03,2.838534969257488783e+01
9.891598245021436014e+03,2.838623310028970081e+01
9.891598267913770542e+03,2.838711651821641269e+01
9.891598290806106888e+03,2.838799994649518865e+01
9.891598313698441416e+03,2.838888338498541586e+01
9.891598336590777762e+03,2.838976683382729505e+01
9.891598359483112290e+03,2.839065029288019204e+01
9.891598382375448637e+03,2.839153376228430048e+01
9.891598405267783164e+03,2.839241724189898974e+01
9.891598428160119511e+03,2.839330073186447123e+01
9.891598451052455857e+03,2.839418423211032660e+01
9.891598473944790385e+03,2.839506774256610200e+01
9.891598496837126731e+03,2.839595126337203013e+01
9.891598519729461259e+03,2.839683479438745195e+01
9.891598542621797606e+03,2.839771833575258952e+01
9.891598565514132133e+03,2.839860188732679802e+01
9.891598588406468480e+03,2.839948544925028173e+01
9.891598611298803007e+03,2.840036902138241715e+01
9.891598634191139354e+03,2.840125260386339434e+01
9.891598657083473881e+03,2.840213619655258626e+01
9.891598679975810228e+03,2.840301979959018652e+01
9.891598702868146574e+03,2.840390341290578746e+01
9.891598725760481102e+03,2.840478703642894232e+01
9.891598748652817449e+03,2.840567067029986603e+01
9.891598771545151976e+03,2.840655431437792444e+01
9.891598794437488323e+03,2.840743796880332184e+01
9.891598817329822850e+03,2.840832163343542405e+01
9.891598840222159197e+03,2.840920530841442471e+01
9.891598863114493724e+03,2.841008899359970030e+01
9.891598886006830071e+03,2.841097268913144447e+01
9.891598908899166418e+03,2.841185639493924242e+01
9.891598931791500945e+03,2.841274011095266516e+01
9.891598954683837292e+03,2.841362383731191343e+01
9.891598977576171819e+03,2.841450757387634951e+01
9.891599000468508166e+03,2.841539132078618834e+01
9.891599023360842693e+03,2.841627507790077445e+01
9.891599046253179040e+03,2.841715884536033343e+01
9.891599069145513567e+03,2.841804262302420980e+01
9.891599092037849914e+03,2.841892641103263983e+01
9.891599114930186261e+03,2.841981020931517321e+01
9.891599137822520788e+03,2.842069401780138094e+01
9.891599160714857135e+03,2.842157783663147441e+01
9.891599183607191662e+03,2.842246166566481236e+01
9.891599206499528009e+03,2.842334550504161328e+01
9.891599229391862536e+03,2.842422935462122524e+01
9.891599252284198883e+03,2.842511321454387385e+01
9.891599275176533411e+03,2.842599708466887876e+01
9.891599298068869757e+03,2.842688096513651885e+01
9.891599320961204285e+03,2.842776485580607115e+01
9.891599343853540631e+03,2.842864875681782877e+01
9.891599366745876978e+03,2.842953266810130231e+01
9.891599389638211505e+03,2.843041658958605211e+01
9.891599412530547852e+03,2.843130052141236774e+01
9.891599435422882379e+03,2.843218446343950490e+01
9.891599458315218726e+03,2.843306841580777089e+01
9.891599481207553254e+03,2.843395237837644274e+01
9.891599504099889600e+03,2.843483635128579934e+01
9.891599526992224128e+03,2.843572033439513902e+01
9.891599549884560474e+03,2.843660432784472647e+01
9.891599572776896821e+03,2.843748833156410782e+01
9.891599595669231348e+03,2.843837234548281501e+01
9.891599618561567695e+03,2.843925636974113047e+01
9.891599641453902223e+03,2.844014040419835965e+01
9.891599664346238569e+03,2.844102444899474236e+01
9.891599687238573097e+03,2.844190850398961246e+01
9.891599710130909443e+03,2.844279256932320976e+01
9.891599733023243971e+03,2.844367664485485392e+01
9.891599755915580317e+03,2.844456073072480251e+01
9.891599778807914845e+03,2.844544482679235742e+01
9.891599801700251192e+03,2.844632893319780109e+01
9.891599824592587538e+03,2.844721304987065835e+01
9.891599847484922066e+03,2.844809717674046468e+01
9.891599870377258412e+03,2.844898131394751672e+01
9.891599893269592940e+03,2.844986546135108441e+01
9.891599916161929286e+03,2.845074961909145017e+01
9.891599939054263814e+03,2.845163378702791945e+01
9.891599961946600160e+03,2.845251796530075694e+01
9.891599984838934688e+03,2.845340215376924675e+01
9.891600007731271035e+03,2.845428635257368910e+01
9.891600030623607381e+03,2.845517056164360881e+01
9.891600053515941909e+03,2.845605478090852714e+01
9.891600076408278255e+03,2.845693901050874430e+01
9.891600099300612783e+03,2.845782325030354087e+01
9.891600122192949129e+03,2.845870750043320285e+01
9.891600145085283657e+03,2.845959176075700725e+01
9.891600167977620004e+03,2.846047603141525428e+01
9.891600190869954531e+03,2.846136031226720320e+01
9.891600213762290878e+03,2.846224460345316842e+01
9.891600236654627224e+03,2.846312890490265346e+01
9.891600259546961752e+03,2.846401321654520444e+01
9.891600282439298098e+03,2.846489753852112159e+01
9.891600305331632626e+03,2.846578187068966059e+01
9.891600328223968972e+03,2.846666621319113233e+01
9.891600351116303500e+03,2.846755056588477828e+01
9.891600374008639847e+03,2.846843492891095906e+01
9.891600396900974374e+03,2.846931930212886996e+01
9.891600419793310721e+03,2.847020368567887516e+01
