Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.905193796296138316e+03,7.917744905261098154e+01
9.905193817625817246e+03,7.917802390943256796e+01
9.905193838955496176e+03,7.917859876368166283e+01
9.905193860285176925e+03,7.917917361540726517e+01
9.905193881614855854e+03,7.917974846451123483e+01
9.905193902944534784e+03,7.918032331104251398e+01
9.905193924274213714e+03,7.918089815500105999e+01
9.905193945603892644e+03,7.918147299638680181e+01
9.905193966933571573e+03,7.918204783519963996e+01
9.905193988263252322e+03,7.918262267148857347e+01
9.905194009592931252e+03,7.918319750515546218e+01
9.905194030922610182e+03,7.918377233624926248e+01
9.905194052252289111e+03,7.918434716476991753e+01
9.905194073581968041e+03,7.918492199071737048e+01
9.905194094911648790e+03,7.918549681414053509e+01
9.905194116241327720e+03,7.918607163494132806e+01
9.905194137571006650e+03,7.918664645316870576e+01
9.905194158900685579e+03,7.918722126882258294e+01
9.905194180230364509e+03,7.918779608190291697e+01
9.905194201560043439e+03,7.918837089240962257e+01
9.905194222889724188e+03,7.918894570039167036e+01
9.905194244219403117e+03,7.918952050575093438e+01
9.905194265549082047e+03,7.919009530853637102e+01
9.905194286878760977e+03,7.919067010874790924e+01
9.905194308208439907e+03,7.919124490638547798e+01
9.905194329538120655e+03,7.919181970149807626e+01
9.905194350867799585e+03,7.919239449398752129e+01
9.905194372197478515e+03,7.919296928390279788e+01
9.905194393527157445e+03,7.919354407124386341e+01
9.905194414856836374e+03,7.919411885601060419e+01
9.905194436186517123e+03,7.919469363825199082e+01
9.905194457516196053e+03,7.919526841786993998e+01
9.905194478845874983e+03,7.919584319491340807e+01
9.905194500175553912e+03,7.919641796938228140e+01
9.905194521505232842e+03,7.919699274127651734e+01
9.905194542834911772e+03,7.919756751059605904e+01
9.905194564164592521e+03,7.919814227738982026e+01
9.905194585494271450e+03,7.919871704155973191e+01
9.905194606823950380e+03,7.919929180315475037e+01
9.905194628153629310e+03,7.919986656217476195e+01
9.905194649483308240e+03,7.920044131861975245e+01
9.905194670812988988e+03,7.920101607253866405e+01
9.905194692142667918e+03,7.920159082383335658e+01
9.905194713472346848e+03,7.920216557255280065e+01
9.905194734802025778e+03,7.920274031869693943e+01
9.905194756131704708e+03,7.920331506226567342e+01
