Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014846018518507481e+04,2.864997295830631430e+01
1.014846020605984813e+04,2.864999581586738486e+01
1.014846022693461964e+04,2.865001867273590719e+01
1.014846024780939297e+04,2.865004152891586386e+01
1.014846026868416629e+04,2.865006438440526182e+01
1.014846028955893780e+04,2.865008723920211509e+01
1.014846031043371113e+04,2.865011009331039560e+01
1.014846033130848264e+04,2.865013294672611721e+01
1.014846035218325596e+04,2.865015579945327673e+01
1.014846037305802929e+04,2.865017865148986687e+01
1.014846039393280080e+04,2.865020150283390876e+01
1.014846041480757413e+04,2.865022435348937080e+01
1.014846043568234745e+04,2.865024720345426701e+01
1.014846045655711896e+04,2.865027005272660432e+01
1.014846047743189229e+04,2.865029290131036177e+01
1.014846049830666561e+04,2.865031574920355339e+01
1.014846051918143712e+04,2.865033859640417901e+01
1.014846054005621045e+04,2.865036144291622477e+01
1.014846056093098196e+04,2.865038428873570453e+01
1.014846058180575528e+04,2.865040713386660443e+01
1.014846060268052861e+04,2.865042997830692428e+01
1.014846062355530012e+04,2.865045282205467814e+01
1.014846064443007344e+04,2.865047566511384147e+01
1.014846066530484677e+04,2.865049850748243188e+01
1.014846068617961828e+04,2.865052134915845272e+01
1.014846070705439161e+04,2.865054419014587594e+01
1.014846072792916493e+04,2.865056703044271913e+01
1.014846074880393644e+04,2.865058987004698920e+01
1.014846076967870977e+04,2.865061270896266521e+01
1.014846079055348127e+04,2.865063554718576455e+01
1.014846081142825460e+04,2.865065838472026627e+01
1.014846083230302793e+04,2.865068122156418440e+01
1.014846085317779944e+04,2.865070405771551521e+01
1.014846087405257276e+04,2.865072689317825905e+01
1.014846089492734609e+04,2.865074972795039798e+01
1.014846091580211760e+04,2.865077256202996026e+01
1.014846093667689092e+04,2.865079539542091780e+01
1.014846095755166243e+04,2.865081822811929158e+01
1.014846097842643576e+04,2.865084106012906062e+01
1.014846099930120909e+04,2.865086389144823187e+01
1.014846102017598059e+04,2.865088672207481579e+01
1.014846104105075392e+04,2.865090955201278788e+01
1.014846106192552725e+04,2.865093238126015862e+01
1.014846108280029875e+04,2.865095520981494914e+01
1.014846110367507208e+04,2.865097803768111362e+01
1.014846112454984541e+04,2.865100086485668029e+01
1.014846114542461692e+04,2.865102369133965254e+01
1.014846116629939024e+04,2.865104651713400585e+01
1.014846118717416175e+04,2.865106934223576829e+01
1.014846120804893508e+04,2.865109216664890823e+01
1.014846122892370840e+04,2.865111499037143616e+01
1.014846124979847991e+04,2.865113781340137322e+01
1.014846127067325324e+04,2.865116063574267713e+01
1.014846129154802657e+04,2.865118345739337613e+01
1.014846131242279807e+04,2.865120627835147005e+01
