Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.903683680555783212e+03,2.656613869955862128e+00
9.903683703452748887e+03,2.656613977664839865e+00
9.903683726349714561e+03,2.656614085366506117e+00
9.903683749246680236e+03,2.656614193060857332e+00
9.903683772143645911e+03,2.656614300747889956e+00
9.903683795040611585e+03,2.656614408427611096e+00
9.903683817937577260e+03,2.656614516100010093e+00
9.903683840834542934e+03,2.656614623765097605e+00
9.903683863731508609e+03,2.656614731422862974e+00
9.903683886628474283e+03,2.656614839073309753e+00
9.903683909525439958e+03,2.656614946716441494e+00
9.903683932422405633e+03,2.656615054352247540e+00
9.903683955319371307e+03,2.656615161980731443e+00
9.903683978216336982e+03,2.656615269601893203e+00
9.903684001113302656e+03,2.656615377215736373e+00
9.903684024010268331e+03,2.656615484822250295e+00
9.903684046907234006e+03,2.656615592421445626e+00
9.903684069804199680e+03,2.656615700013315262e+00
9.903684092701163536e+03,2.656615807597844992e+00
9.903684115598129210e+03,2.656615915175056131e+00
9.903684138495094885e+03,2.656616022744945127e+00
9.903684161392060560e+03,2.656616130307501322e+00
9.903684184289026234e+03,2.656616237862728269e+00
9.903684207185991909e+03,2.656616345410629521e+00
9.903684230082957583e+03,2.656616452951194418e+00
9.903684252979923258e+03,2.656616560484433620e+00
9.903684275876888933e+03,2.656616668010332916e+00
9.903684298773854607e+03,2.656616775528906516e+00
9.903684321670820282e+03,2.656616883040143762e+00
9.903684344567785956e+03,2.656616990544041101e+00
9.903684367464751631e+03,2.656617098040609193e+00
9.903684390361717305e+03,2.656617205529837378e+00
9.903684413258682980e+03,2.656617313011729209e+00
9.903684436155648655e+03,2.656617420486284686e+00
9.903684459052614329e+03,2.656617527953500257e+00
9.903684481949580004e+03,2.656617635413375922e+00
9.903684504846545678e+03,2.656617742865911680e+00
9.903684527743511353e+03,2.656617850311107532e+00
9.903684550640477028e+03,2.656617957748963477e+00
9.903684573537442702e+03,2.656618065179472410e+00
9.903684596434408377e+03,2.656618172602641437e+00
9.903684619331374051e+03,2.656618280018467004e+00
9.903684642228339726e+03,2.656618387426942007e+00
9.903684665125305401e+03,2.656618494828073551e+00
9.903684688022271075e+03,2.656618602221861636e+00
9.903684710919236750e+03,2.656618709608299156e+00
9.903684733816202424e+03,2.656618816987393217e+00
9.903684756713168099e+03,2.656618924359129608e+00
9.903684779610133774e+03,2.656619031723522539e+00
9.903684802507099448e+03,2.656619139080564906e+00
9.903684825404065123e+03,2.656619246430256709e+00
9.903684848301030797e+03,2.656619353772594394e+00
9.903684871197996472e+03,2.656619461107581515e+00
9.903684894094960327e+03,2.656619568435203860e+00
9.903684916991926002e+03,2.656619675755482746e+00
9.903684939888891677e+03,2.656619783068403962e+00
9.903684962785857351e+03,2.656619890373971060e+00
9.903684985682823026e+03,2.656619997672180489e+00
