Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.908226643518544734e+03,2.742631516670016367e+00
9.908226666740774817e+03,2.742631597119089548e+00
9.908226689963004901e+03,2.742631677561831793e+00
9.908226713185233166e+03,2.742631757998221786e+00
9.908226736407463250e+03,2.742631838428284397e+00
9.908226759629693333e+03,2.742631918852005413e+00
9.908226782851923417e+03,2.742631999269384835e+00
9.908226806074151682e+03,2.742632079680419110e+00
9.908226829296381766e+03,2.742632160085111792e+00
9.908226852518611850e+03,2.742632240483466433e+00
9.908226875740841933e+03,2.742632320875475926e+00
9.908226898963070198e+03,2.742632401261136721e+00
9.908226922185300282e+03,2.742632481640455921e+00
9.908226945407530366e+03,2.742632562013429975e+00
9.908226968629760449e+03,2.742632642380062435e+00
9.908226991851988714e+03,2.742632722740335538e+00
9.908227015074218798e+03,2.742632803094267047e+00
9.908227038296448882e+03,2.742632883441849856e+00
9.908227061518678966e+03,2.742632963783091071e+00
9.908227084740907230e+03,2.742633044117965824e+00
9.908227107963137314e+03,2.742633124446502535e+00
9.908227131185367398e+03,2.742633204768686994e+00
9.908227154407597482e+03,2.742633285084515649e+00
9.908227177629825746e+03,2.742633365393988498e+00
9.908227200852055830e+03,2.742633445697112649e+00
9.908227224074285914e+03,2.742633525993880994e+00
9.908227247296515998e+03,2.742633606284300640e+00
9.908227270518744263e+03,2.742633686568353824e+00
9.908227293740974346e+03,2.742633766846054755e+00
9.908227316963204430e+03,2.742633847117399881e+00
9.908227340185434514e+03,2.742633927382385650e+00
9.908227363407662779e+03,2.742634007641012062e+00
9.908227386629892862e+03,2.742634087893279116e+00
9.908227409852122946e+03,2.742634168139190365e+00
9.908227433074353030e+03,2.742634248378738704e+00
9.908227456296581295e+03,2.742634328611917027e+00
9.908227479518811379e+03,2.742634408838746651e+00
9.908227502741041462e+03,2.742634489059206260e+00
9.908227525963271546e+03,2.742634569273302958e+00
9.908227549185499811e+03,2.742634649481029641e+00
9.908227572407729895e+03,2.742634729682400518e+00
9.908227595629959978e+03,2.742634809877401381e+00
9.908227618852190062e+03,2.742634890066039333e+00
9.908227642074418327e+03,2.742634970248300164e+00
9.908227665296648411e+03,2.742635050424201637e+00
9.908227688518878495e+03,2.742635130593733095e+00
9.908227711741108578e+03,2.742635210756894537e+00
9.908227734963336843e+03,2.742635290913678858e+00
9.908227758185566927e+03,2.742635371064103822e+00
9.908227781407797011e+03,2.742635451208151665e+00
9.908227804630027094e+03,2.742635531345829492e+00
9.908227827852255359e+03,2.742635611477126645e+00
9.908227851074485443e+03,2.742635691602057335e+00
9.908227874296715527e+03,2.742635771720614457e+00
9.908227897518945610e+03,2.742635851832794458e+00
9.908227920741173875e+03,2.742635931938597338e+00
9.908227943963403959e+03,2.742636012038023097e+00
9.908227967185634043e+03,2.742636092131075287e+00
9.908227990407864127e+03,2.742636172217746804e+00
9.908228013630092391e+03,2.742636252298034094e+00
9.908228036852322475e+03,2.742636332371951369e+00
9.908228060074552559e+03,2.742636412439487970e+00
9.908228083296782643e+03,2.742636492500636791e+00
9.908228106519010908e+03,2.742636572555404939e+00
9.908228129741240991e+03,2.742636652603792413e+00
9.908228152963471075e+03,2.742636732645799214e+00
9.908228176185701159e+03,2.742636812681421787e+00
9.908228199407929424e+03,2.742636892710649477e+00
9.908228222630159507e+03,2.742636972733503598e+00
9.908228245852389591e+03,2.742637052749973492e+00
9.908228269074619675e+03,2.742637132760052054e+00
9.908228292296847940e+03,2.742637212763739285e+00
9.908228315519078023e+03,2.742637292761045842e+00
9.908228338741308107e+03,2.742637372751961067e+00
9.908228361963538191e+03,2.742637452736484960e+00
9.908228385185766456e+03,2.742637532714613968e+00
