Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.027292596064833924e+04,1.160213184707136179e+03
1.027292604692779969e+04,1.159999774815254113e+03
1.027292613320726196e+04,1.159786366526063375e+03
1.027292621948672240e+04,1.159572959871075454e+03
1.027292630576618467e+04,1.159359554863803851e+03
1.027292639204564512e+04,1.159146151535757099e+03
1.027292647832510738e+04,1.158932749900446879e+03
1.027292656460456783e+04,1.158719349989380589e+03
1.027292665088403010e+04,1.158505951816068773e+03
1.027292673716349054e+04,1.158292555412016100e+03
1.027292682344295281e+04,1.158079160790731976e+03
1.027292690972241326e+04,1.157865767983719252e+03
1.027292699600187370e+04,1.157652377008984331e+03
1.027292708228133597e+04,1.157438987884531343e+03
1.027292716856079642e+04,1.157225600641862002e+03
1.027292725484025868e+04,1.157012215294480256e+03
1.027292734111971913e+04,1.156798831873884865e+03
1.027292742739918140e+04,1.156585450393579549e+03
1.027292751367864184e+04,1.156372070885059884e+03
1.027292759995810411e+04,1.156158693361828000e+03
1.027292768623756456e+04,1.155945317855378789e+03
1.027292777251702682e+04,1.155731944379211654e+03
1.027292785879648727e+04,1.155518572964819441e+03
1.027292794507594954e+04,1.155305203625700642e+03
1.027292803135540998e+04,1.155091836393345602e+03
1.027292811763487043e+04,1.154878471285750038e+03
1.027292820391433270e+04,1.154665108320906938e+03
1.027292829019379315e+04,1.154451747530305056e+03
1.027292837647325541e+04,1.154238388927437882e+03
1.027292846275271586e+04,1.154025032543791440e+03
1.027292854903217813e+04,1.153811678392858312e+03
1.027292863531163857e+04,1.153598326506121793e+03
1.027292872159110084e+04,1.153384976897073102e+03
1.027292880787056129e+04,1.153171629597194169e+03
1.027292889415002355e+04,1.152958284619973256e+03
1.027292898042948400e+04,1.152744941996891384e+03
1.027292906670894445e+04,1.152531601745932676e+03
1.027292915298840671e+04,1.152318263885081706e+03
1.027292923926786716e+04,1.152104928445815403e+03
1.027292932554732943e+04,1.151891595441618620e+03
1.027292941182678987e+04,1.151678264903965555e+03
1.027292949810625214e+04,1.151464936846339697e+03
1.027292958438571259e+04,1.151251611300213654e+03
1.027292967066517485e+04,1.151038288279068183e+03
1.027292975694463530e+04,1.150824967814374304e+03
1.027292984322409757e+04,1.150611649919611637e+03
1.027292992950355801e+04,1.150398334626248243e+03
1.027293001578302028e+04,1.150185021947762380e+03
1.027293010206248073e+04,1.149971711915619608e+03
1.027293018834194118e+04,1.149758404547793816e+03
1.027293027462140344e+04,1.149545099862257757e+03
1.027293036090086389e+04,1.149331797890473808e+03
1.027293044718032615e+04,1.149118498645915679e+03
1.027293053345978660e+04,1.148905202160044610e+03
1.027293061973924887e+04,1.148691908446332491e+03
1.027293070601870932e+04,1.148478617536237152e+03
1.027293079229817158e+04,1.148265329443229120e+03
1.027293087857763203e+04,1.148052044198764634e+03
1.027293096485709430e+04,1.147838761816312399e+03
1.027293105113655474e+04,1.147625482327326154e+03
1.027293113741601519e+04,1.147412205749769328e+03
1.027293122369547746e+04,1.147198932101603987e+03
1.027293130997493790e+04,1.146985661414281367e+03
1.027293139625440017e+04,1.146772393701264718e+03
1.027293148253386062e+04,1.146559128994002776e+03
1.027293156881332288e+04,1.146345867305958791e+03
1.027293165509278333e+04,1.146132608668577177e+03
1.027293174137224560e+04,1.145919353095319593e+03
1.027293182765170604e+04,1.145706100617629545e+03
1.027293191393116831e+04,1.145492851248966190e+03
1.027293200021062876e+04,1.145279605020770077e+03
1.027293208649008920e+04,1.145066361950994633e+03
1.027293217276955147e+04,1.144853122057591463e+03
1.027293225904901192e+04,1.144639885371999071e+03
1.027293234532847418e+04,1.144426651907671385e+03
1.027293243160793463e+04,1.144213421696043952e+03
1.027293251788739690e+04,1.144000194750569335e+03
1.027293260416685735e+04,1.143786971102680354e+03
1.027293269044631961e+04,1.143573750765828891e+03
1.027293277672578006e+04,1.143360533771444580e+03
1.027293286300524233e+04,1.143147320132977029e+03
1.027293294928470277e+04,1.142934109881854738e+03
1.027293303556416504e+04,1.142720903031524131e+03
1.027293312184362549e+04,1.142507699613411660e+03
1.027293320812308593e+04,1.142294499645457336e+03
1.027293329440254820e+04,1.142081303145600259e+03
1.027293338068200865e+04,1.141868110145263245e+03
1.027293346696147091e+04,1.141654920657888852e+03
1.027293355324093136e+04,1.141441734714896256e+03
1.027293363952039363e+04,1.141228552329726654e+03
1.027293372579985407e+04,1.141015373533797174e+03
1.027293381207931634e+04,1.140802198340547420e+03
1.027293389835877679e+04,1.140589026781391340e+03
1.027293398463823905e+04,1.140375858869767171e+03
1.027293407091769950e+04,1.140162694637085906e+03
1.027293415719715995e+04,1.139949534101278005e+03
1.027293424347662221e+04,1.139736377280270744e+03
1.027293432975608266e+04,1.139523224205472843e+03
1.027293441603554493e+04,1.139310074890317082e+03
1.027293450231500537e+04,1.139096929366209679e+03
1.027293458859446764e+04,1.138883787646581141e+03
1.027293467487392809e+04,1.138670649762834501e+03
1.027293476115339035e+04,1.138457515728398903e+03
1.027293484743285080e+04,1.138244385574674880e+03
1.027293493371231307e+04,1.138031259315089301e+03
1.027293501999177352e+04,1.137818136981040880e+03
1.027293510627123396e+04,1.137605018590447798e+03
1.027293519255069623e+04,1.137391904161225966e+03
1.027293527883015668e+04,1.137178793724770685e+03
1.027293536510961894e+04,1.136965687294504050e+03
1.027293545138907939e+04,1.136752584901817727e+03
1.027293553766854166e+04,1.136539486560131309e+03
1.027293562394800210e+04,1.136326392300835096e+03
1.027293571022746437e+04,1.136113302137346182e+03
1.027293579650692482e+04,1.135900216101051910e+03
1.027293588278638708e+04,1.135687134205368920e+03
1.027293596906584753e+04,1.135474056481680691e+03
1.027293605534530980e+04,1.135260982943400677e+03
1.027293614162477024e+04,1.135047913621911903e+03
1.027293622790423069e+04,1.134834848535117544e+03
1.027293631418369296e+04,1.134621787700920777e+03
1.027293640046315340e+04,1.134408731150699396e+03
1.027293648674261567e+04,1.134195678897862535e+03
1.027293657302207612e+04,1.133982630973785035e+03
1.027293665930153838e+04,1.133769587391874211e+03
1.027293674558099883e+04,1.133556548183502173e+03
1.027293683186046110e+04,1.133343513362073736e+03
1.027293691813992154e+04,1.133130482958959419e+03
1.027293700441938381e+04,1.132917456987561309e+03
1.027293709069884426e+04,1.132704435479246968e+03
1.027293717697830471e+04,1.132491418451907748e+03
1.027293726325776697e+04,1.132278405923435457e+03
1.027293734953722742e+04,1.132065397925193110e+03
1.027293743581668969e+04,1.131852394470578247e+03
1.027293752209615013e+04,1.131639395590950699e+03
1.027293760837561240e+04,1.131426401299707095e+03
1.027293769465507285e+04,1.131213411628204312e+03
1.027293778093453511e+04,1.131000426589836934e+03
1.027293786721399556e+04,1.130787446215958198e+03
1.027293795349345783e+04,1.130574470519961778e+03
1.027293803977291827e+04,1.130361499533197730e+03
1.027293812605238054e+04,1.130148533269056770e+03
1.027293821233184099e+04,1.129935571758888045e+03
1.027293829861130143e+04,1.129722615020568355e+03
1.027293838489076370e+04,1.129509663071975410e+03
1.027293847117022415e+04,1.129296715944453126e+03
1.027293855744968641e+04,1.129083773651386764e+03
1.027293864372914686e+04,1.128870836224117511e+03
1.027293873000860913e+04,1.128657903676028582e+03
1.027293881628806957e+04,1.128444976038459117e+03
1.027293890256753184e+04,1.128232053324789149e+03
1.027293898884699229e+04,1.128019135566354862e+03
1.027293907512645455e+04,1.127806222776534923e+03
1.027293916140591500e+04,1.127593314986662563e+03
1.027293924768537545e+04,1.127380412214602984e+03
1.027293933396483772e+04,1.127167514478220255e+03
1.027293942024429816e+04,1.126954621808842830e+03
1.027293950652376043e+04,1.126741734219845512e+03
1.027293959280322088e+04,1.126528851742551979e+03
1.027293967908268314e+04,1.126315974390335214e+03
